Ryomen Sukuna;Special;null;Wrath;True;Malevolent Shrine;Severing and Slicing;99999999
Jogo;First;Ryomen Sukuna;Greed;True;Coffin of the Iron Mountain;Volcanic Innate;12230
Rika;Special;null;Lust;False;null;Copy;330011
Dagon;Second;Toji Fushiguro;Sloth;True;Horizon Of The Captivating Skandha;Disaster Tides;2020
Mahito;Third;Yuji Itadori;Greed;True;Self-Embodiment of Perfection;Idle Transfiguration;45656
Hanami;Fourth;Gojo Satoru;Pride;False;null;Plant Manifestation; 12100
Choso;Special;Ryomen Sukuna;Despair;False;null;Blood Manipulation;1
Tengen;First;Suguru Geto;Gluttony;False;null;Musical Score;12321
Smallpox Deity;Fourth;Kugisaki Nobara;Pride;False;null;Inner Focus;12
Naoya Zen'in;Third;Maki;Lust;False;null;Enhanced Control;0
